"filename", "language", "JSON", "TypeScript", "YAML", "JavaScript", "JSON with Comments", "MS SQL", "XML", "PostCSS", "TypeScript JSX", "comment", "blank", "total"
"c:\Users\admin\Desktop\Next-js\agenda\app\api\subjects\[userid]\[id]\route.ts", "TypeScript", 0, -115, 0, 0, 0, 0, 0, 0, 0, 0, -22, -137
"c:\Users\admin\Desktop\Next-js\agenda\app\api\subjects\[userid]\route.ts", "TypeScript", 0, -27, 0, 0, 0, 0, 0, 0, 0, 0, -10, -37
"c:\Users\admin\Desktop\Next-js\agenda\app\api\subjects\route.ts", "TypeScript", 0, -60, 0, 0, 0, 0, 0, 0, 0, 0, -10, -70
"c:\Users\admin\Desktop\Next-js\agenda\app\api\user\route.ts", "TypeScript", 0, -107, 0, 0, 0, 0, 0, 0, 0, 0, -18, -125
"c:\Users\admin\Desktop\Next-js\agenda\app\api\users\[userid]\route.ts", "TypeScript", 0, -107, 0, 0, 0, 0, 0, 0, 0, 0, -18, -125
"c:\Users\admin\Desktop\Next-js\agenda\app\api\users\route.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, -97, 0, -21, -118
"c:\Users\admin\Desktop\Next-js\agenda\app\api\verification-token\[id]\route.ts", "TypeScript", 0, -55, 0, 0, 0, 0, 0, 0, 0, 0, -8, -63
"c:\Users\admin\Desktop\Next-js\agenda\app\api\verification-token\route.ts", "TypeScript", 0, -27, 0, 0, 0, 0, 0, 0, 0, 0, -5, -32
"c:\Users\admin\Desktop\Next-js\agenda\app\api\verify\route.ts", "TypeScript", 0, -22, 0, 0, 0, 0, 0, 0, 0, -1, -8, -31
"c:\Users\admin\Desktop\Next-js\agenda\app\api\weekly-challenge-answers\[id]\route.ts", "TypeScript", 0, -120, 0, 0, 0, 0, 0, 0, 0, 0, -20, -140
"c:\Users\admin\Desktop\Next-js\agenda\app\api\weekly-challenge-answers\route.ts", "TypeScript", 0, -81, 0, 0, 0, 0, 0, 0, 0, 0, -16, -97
"c:\Users\admin\Desktop\Next-js\agenda\app\api\weekly-challenges\[id]\route.ts", "TypeScript", 0, -152, 0, 0, 0, 0, 0, 0, 0, 0, -17, -169
