"filename", "language", "JSON", "TypeScript", "JSON with Comments", "YAML", "JavaScript", "TypeScript JSX", "MS SQL", "PostCSS", "comment", "blank", "total"
"c:\Users\admin\Desktop\Next-js\agenda\app\ui\calendar-client2.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -78, 0, 0, 78, 0, 0
"c:\Users\admin\Desktop\Next-js\agenda\app\ui\calendar3.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -64, 0, 0, -2, -9, -75
"c:\Users\admin\Desktop\Next-js\agenda\app\ui\calendar\add-event-button.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 8, 0, 0, 0, 1, 9
"c:\Users\admin\Desktop\Next-js\agenda\app\ui\calendar\add-event\add-event-client.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 176, 0, 0, 118, 27, 321
"c:\Users\admin\Desktop\Next-js\agenda\app\ui\calendar\add-event\add-event-server.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 20, 0, 0, 0, 7, 27
"c:\Users\admin\Desktop\Next-js\agenda\app\ui\calendar\calendar-client.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 126, 0, 0, 8, 21, 155
"c:\Users\admin\Desktop\Next-js\agenda\app\ui\calendar\calendar-server.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 22, 0, 0, 0, 7, 29
"c:\Users\admin\Desktop\Next-js\agenda\app\ui\calendar\calendar-static.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 30, 0, 0, 2, 7, 39
"c:\Users\admin\Desktop\Next-js\agenda\app\ui\calendar\dashboard-server.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 76, 0, 0, 4, 12, 92
"c:\Users\admin\Desktop\Next-js\agenda\app\ui\confirm-modal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -1, 0, 0, 1, 0, 0
"c:\Users\admin\Desktop\Next-js\agenda\app\ui\dashboard.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -60, 0, 0, 0, -6, -66
"c:\Users\admin\Desktop\Next-js\agenda\app\ui\edit-event-client.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -5, 0, 0, 6, 0, 1
"c:\Users\admin\Desktop\Next-js\agenda\app\ui\edit-main-post.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -344, 0, 0, -12, -44, -400
"c:\Users\admin\Desktop\Next-js\agenda\app\ui\edit-message.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\admin\Desktop\Next-js\agenda\app\ui\edit-weekly-challenge.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\admin\Desktop\Next-js\agenda\app\ui\error-popup.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 77, 0, 0, 8, 12, 97
"c:\Users\admin\Desktop\Next-js\agenda\app\ui\fade-in.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 14, 0, 0, 3, 4, 21
"c:\Users\admin\Desktop\Next-js\agenda\app\ui\file-tree.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\admin\Desktop\Next-js\agenda\app\ui\file-uploader.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 163, 0, 0, 5, 16, 184
"c:\Users\admin\Desktop\Next-js\agenda\app\ui\folder-toggle.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -3, 0, 0, 1, 2, 0
"c:\Users\admin\Desktop\Next-js\agenda\app\ui\footer\footer.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 16, 0, 0, 1, 5, 22
"c:\Users\admin\Desktop\Next-js\agenda\app\ui\form-layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 30, 0, 0, 1, 5, 36
"c:\Users\admin\Desktop\Next-js\agenda\app\ui\header2.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 106, 0, 0, -7, 6, 105
"c:\Users\admin\Desktop\Next-js\agenda\app\ui\info-popup.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 57, 0, 0, 4, 12, 73
"c:\Users\admin\Desktop\Next-js\agenda\app\ui\initial-setup\subjects\initial-setup-subjects-client.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 237, 0, 0, 4, 33, 274
"c:\Users\admin\Desktop\Next-js\agenda\app\ui\initial-setup\subjects\initial-setup-subjects-server.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 25, 0, 0, 0, 14, 39
"c:\Users\admin\Desktop\Next-js\agenda\app\ui\initial-setup\subjects\initial-setup-subjects-static.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 131, 0, 0, 1, 6, 138
"c:\Users\admin\Desktop\Next-js\agenda\app\ui\initial-setup\user-info\initial-setup-user-info-static.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 15, 0, 0, 0, 4, 19
"c:\Users\admin\Desktop\Next-js\agenda\app\ui\list-modal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 30, 0, 0, 2, 4, 36
"c:\Users\admin\Desktop\Next-js\agenda\app\ui\loader.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -7, 0, 0, 0, 0, -7
"c:\Users\admin\Desktop\Next-js\agenda\app\ui\main.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -191, 0, 0, -3, -19, -213
